Taxon,Mnemonic,Scientific name,Common name,Synonym,Other Names,Reviewed,Rank,Lineage,Parent,Virus hosts,Organism,Genus,Species,Solanaceae
69181,BRACR,Brassica cretica,Mustard,,Brassica cretica Lam.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Brassiceae; Brassica,3705.0,,Brassica cretica (Mustard),Brassica,cretica,0
107243,NOCCA,Noccaea caerulescens,Alpine penny-cress,Thlaspi caerulescens,"Noccaea caerulescens (J.Presl & C.Presl) F.K.Mey., 1973; Noccaea sp. MAB-2005; Noccaeae caerulescens; Thlaspi caerulescens J.Presl & C.Presl, 1819",annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Coluteocarpeae; Noccaea,290573.0,,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),Noccaea,caerulescens,0
22663,PUNGR,Punica granatum,Pomegranate,,Punica granatum L.; granado; grenadier; shi liu; zakuro,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Myrtales; Lythraceae; Punica,22662.0,,Punica granatum (Pomegranate),Punica,granatum,0
4155,ERYGU,Erythranthe guttata,Yellow monkey flower,Mimulus guttatus,Erythranthe guttata (Fisch. ex DC.) G.L.Nesom; Erythranthe guttatus; Mimulus guttatus Fisch. ex DC.; Mimulus guttatus subsp. guttatus; common monkey flower; spotted monkey flower,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Phrymaceae; Erythranthe,1502711.0,,Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),Erythranthe,guttata,0
88036,SELML,Selaginella moellendorffii,Spikemoss,,Selaginella moellendorffii Hieron.; Selaginella moellendorfii,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Lycopodiopsida; Selaginellales; Selaginellaceae; Selaginella,3246.0,,Selaginella moellendorffii (Spikemoss),Selaginella,moellendorffii,0
4529,ORYRU,Oryza rufipogon,Brownbeard rice,Asian wild rice,Oryza rufipogon Griff.; common wild rice; red rice,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza,4527.0,,Oryza rufipogon (Brownbeard rice) (Asian wild rice),Oryza,rufipogon,0
4536,ORYNI,Oryza nivara,Indian wild rice,Oryza sativa f. spontanea,Oryza nivara S.D.Sharma & Shastry; Oryza nivarra; Oryza sativa f. spontanea Roshev. nom. illeg.,reviewed,Forma,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa,4530.0,,Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),Oryza,nivara,0
39946,ORYSI,Oryza sativa subsp. indica,Rice,,Indian rice; Indica rice; Oryza sativa (indica cultivar-group); Oryza sativa (indica group); Oryza sativa Indica Group; Oryza sativa indica; Oryza sativa ssp. indica; Oryza sativa subsp. indica Kato; Oryza sp. Poi-6; long-grained rice,reviewed,,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa,4530.0,,Oryza sativa subsp. indica (Rice),Oryza,sativa,0
39947,ORYSJ,Oryza sativa subsp. japonica,Rice,,Japanese rice; Japonica rice; Oryza sativa (japonica culticar-group); Oryza sativa (japonica cultivar-group); Oryza sativa Japonica Group; Oryza sativa japonica; Oryza sativa ssp. japonica,reviewed,,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa,4530.0,,Oryza sativa subsp. japonica (Rice),Oryza,sativa,0
4533,ORYBR,Oryza brachyantha,,,Oryza brachyantha A.Chev. & Roehr.; malo sina,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza,4527.0,,Oryza brachyantha,Oryza,brachyantha,0
4537,ORYPU,Oryza punctata,Red rice,,Oryza punctata Kotschy ex Steud.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza,4527.0,,Oryza punctata (Red rice),Oryza,punctata,0
4538,ORYGL,Oryza glaberrima,African rice,,Oryza glaberrima Steud.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza,4527.0,,Oryza glaberrima (African rice),Oryza,glaberrima,0
40148,,Oryza glumipatula,,,Oryza glumaepatula; Oryza glumipatula Steud.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza,4527.0,,Oryza glumipatula,Oryza,glumipatula,0
40149,,Oryza meridionalis,,,"Australian wild rice; IRRI 101147; IRRI:101147; Oryza meridionales; Oryza meridionalis N.Q.Ng, 1981",annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza,4527.0,,Oryza meridionalis,Oryza,meridionalis,0
